sub	sup	issue
error		unplaced: best single witness: event (wordnet)
essay		unplaced: best single witness: structure (sumo)
essence		unplaced: best single witness: knowledge (wordnet)
estate		unplaced: best single witness: relation (wordnet)
estimate		unplaced: best single witness: knowledge (wordnet)
ethics		unplaced: best single witness: motivation (wordnet)
ethics	motivation	disputed: ['wordnet'] vs ['sumo']
event	example	disputed: ['sumo'] vs ['opencyc']
event	incentive	disputed: ['sumo'] vs ['opencyc']
event-ticket		unplaced: best single witness: ticket (claude)
evolution		unplaced: best single witness: ability (sumo)
example		unplaced: best single witness: knowledge (wordnet)
example	formula	disputed: ['opencyc'] vs ['sumo']
example	image	disputed: ['opencyc'] vs ['sumo']
example	knowledge	disputed: ['wordnet'] vs ['sumo']
example	light	disputed: ['opencyc'] vs ['sumo']
example	situation	disputed: ['opencyc'] vs ['sumo']
exception		unplaced: best single witness: neglect (wordnet)
exception	neglect	disputed: ['wordnet'] vs ['sumo']
exception	situation	disputed: ['opencyc'] vs ['sumo']
excuse		unplaced: best single witness: statement (wordnet)
executive		unplaced: best single witness: chief (wordnet)
exemption		unplaced: best single witness: condition (wordnet)
exile		unplaced: best single witness: organism (wordnet)
exit		unplaced: best single witness: object (wordnet)
expectation		unplaced: best single witness: belief (wordnet)
experience		unplaced: best single witness: knowledge (wordnet)
expertise		unplaced: best single witness: goal (sumo)
explanation		unplaced: best single witness: statement (wordnet)
exposure		unplaced: best single witness: goal (sumo)
expression		unplaced: best single witness: quality (wordnet)
extension		unplaced: best single witness: delay (wordnet)
extent		unplaced: best single witness: goal (sumo)
extraterrestrial		unplaced: best single witness: imagination (wordnet)
extreme		unplaced: best single witness: degree (wordnet)
facade	product	disputed: ['yago'] vs ['sumo']
fact		unplaced: best single witness: knowledge (wordnet)
factor		unplaced: best single witness: natural-event (wordnet)
failure		unplaced: best single witness: event (wordnet)
fair		unplaced: best single witness: entertainment (wordnet)
fairy		unplaced: best single witness: belief (wordnet)
faith		unplaced: best single witness: belief (wordnet)
fame		unplaced: best single witness: honour (wordnet)
fantasy		unplaced: best single witness: imagination (wordnet)
fashion		unplaced: best single witness: ability (sumo)
fashion	life-style	disputed: ['sumo'] vs ['wordnet']
father		unplaced: best single witness: organism (wordnet)
favor		unplaced: best single witness: action (wordnet)
fee		unplaced: best single witness: relation (wordnet)
feeling		unplaced: best single witness: ability (sumo)
fence	hedge	disputed: ['sumo'] vs ['wordnet']
fever		unplaced: best single witness: grounds (wordnet)
few		unplaced: best single witness: group (wordnet)
few	people	disputed: ['wordnet'] vs ['sumo']
fiction		unplaced: best single witness: structure (sumo)
fiction	myth	disputed: ['sumo'] vs ['wordnet']
fig	graphics	disputed: ['wordnet'] vs ['sumo']
financial-document		unplaced: best single witness: formula (opencyc)
fist		unplaced: best single witness: hand (wordnet)
fixture		unplaced: best single witness: object (wordnet)
flat		unplaced: best single witness: object (wordnet)
flesh		unplaced: best single witness: tissue (wordnet)
flock		unplaced: best single witness: group (wordnet)
flour		unplaced: best single witness: food (wordnet)
flu		unplaced: best single witness: condition (wordnet)
fluid		unplaced: best single witness: relation (wordnet)
fold		unplaced: best single witness: ability (sumo)
folk		unplaced: best single witness: group (wordnet)
folklore		unplaced: best single witness: knowledge (wordnet)
food	grain	disputed: ['sumo'] vs ['claude']
foot		unplaced: best single witness: bottom (sumo)
football		unplaced: best single witness: recreation (wordnet)
forecast		unplaced: best single witness: statement (wordnet)
foreigner		unplaced: best single witness: organism (wordnet)
forest		unplaced: best single witness: group (wordnet)
forestry		unplaced: best single witness: biology (wordnet)
formal-science		unplaced: best single witness: science (claude)
formation		unplaced: best single witness: group (wordnet)
formation	group	disputed: ['wordnet'] vs ['sumo']
formula		unplaced: best single witness: statement (wordnet)
formula	incentive	disputed: ['sumo'] vs ['opencyc']
formula	interface	disputed: ['sumo'] vs ['opencyc']
formula	load	disputed: ['sumo'] vs ['opencyc']
formula	proof	disputed: ['sumo'] vs ['opencyc']
formula	statement	disputed: ['wordnet'] vs ['opencyc']
fortune		unplaced: best single witness: phenomenon (wordnet)
forum		unplaced: best single witness: group (wordnet)
forum	meeting	disputed: ['wordnet'] vs ['sumo']
foundation		unplaced: best single witness: relation (wordnet)
fountain	product	disputed: ['yago'] vs ['sumo']
fraction	material	disputed: ['wordnet'] vs ['sumo']
fragment		unplaced: best single witness: goal (sumo)
frame		unplaced: best single witness: structure (wordnet)
franchise		unplaced: best single witness: statement (wordnet)
freedom		unplaced: best single witness: ability (sumo)
freight		unplaced: best single witness: product (wordnet)
freight	product	disputed: ['wordnet'] vs ['sumo']
freshman		unplaced: best single witness: organism (wordnet)
friend		unplaced: best single witness: organism (wordnet)
friendship		unplaced: best single witness: revival (sumo)
front		unplaced: best single witness: location (wordnet)
frustration		unplaced: best single witness: desire (wordnet)
function		unplaced: best single witness: relation (wordnet)
fund		unplaced: best single witness: standard (wordnet)
fur		unplaced: best single witness: relation (wordnet)
future		unplaced: no witness places it
galaxy	group	disputed: ['wordnet'] vs ['sumo']
gallon		unplaced: best single witness: quantity (wordnet)
garbage	material	disputed: ['wordnet'] vs ['sumo']
garbage	waste	disputed: ['wordnet'] vs ['sumo']
gas		unplaced: best single witness: phenomenon (wordnet)
gear		unplaced: best single witness: wheel (wordnet)
gene		unplaced: best single witness: group (wordnet)
ghost		unplaced: best single witness: knowledge (wordnet)
gift		unplaced: best single witness: relation (wordnet)
glacier		unplaced: best single witness: object (wordnet)
glass		unplaced: best single witness: bottom (sumo)
gloom		unplaced: best single witness: dark (wordnet)
glory		unplaced: best single witness: honour (wordnet)
goal		unplaced: best single witness: knowledge (wordnet)
goal	knowledge	disputed: ['wordnet'] vs ['sumo']
god		unplaced: best single witness: belief (wordnet)
gold		unplaced: best single witness: relation (wordnet)
golf		unplaced: best single witness: recreation (wordnet)
grace		unplaced: best single witness: ability (sumo)
graduate		unplaced: best single witness: organism (wordnet)
graduate	scholar	disputed: ['wordnet'] vs ['sumo']
grain	material	disputed: ['wordnet'] vs ['sumo']
grammar		unplaced: best single witness: linguistics (wordnet)
grandfather		unplaced: best single witness: organism (wordnet)
grant		unplaced: best single witness: relation (wordnet)
graph		unplaced: best single witness: bottom (sumo)
graphics		unplaced: best single witness: structure (sumo)
graphics	illustration	disputed: ['sumo'] vs ['wordnet']
gravel		unplaced: best single witness: relation (wordnet)
green		unplaced: no witness places it
greeting	hospitality	disputed: ['sumo'] vs ['wordnet']
grief		unplaced: best single witness: feeling (wordnet)
grimace		unplaced: best single witness: revival (sumo)
grounds		unplaced: best single witness: knowledge (wordnet)
grounds	proof	disputed: ['sumo'] vs ['wordnet']
group	knot	disputed: ['sumo'] vs ['wordnet']
group	network	disputed: ['sumo'] vs ['wordnet']
