# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
3133	hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn l	hoopwood
3133	hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn l	split poles
3133	hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn l	wooden sticks
3133	hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn l	chipwood
3141	plywood consisting solely of sheets of wood, except of bamboo	plywood consisting solely
3145	plywood, veneer panels and similar laminated wood of bamboo	veneer panels
3151	veneer sheets and sheets for plywood and other wood sawn lengthwise, sliced or p	veneer sheets
3152	densified wood	densified wood
3160	builders' joinery and carpentry of wood (including cellular wood panels, assembl	builders' joinery
3170	packing cases, boxes, crates, drums and similar packings, of wood; cable-drums o	cable-drums
3170	packing cases, boxes, crates, drums and similar packings, of wood; cable-drums o	box pallets
3192	articles of cork and straw or other plaiting materials; basketware and wickerwor	basketware
3212	newsprint, hand-made paper and other uncoated paper and paperboard of a kind use	hand-made paper
3213	toilet tissue stock, uncoated kraftliner and other uncoated paper and paperboard	toilet tissue stock
3213	toilet tissue stock, uncoated kraftliner and other uncoated paper and paperboard	miscellaneous other papers
3215	corrugated paper and paperboard and containers of paper and paperboard	corrugated paper
3219	other paper and paperboard products	paperboard products
3221	educational textbooks, in print	educational textbooks
3222	general reference books, in print	general reference books
3241	general interest newspapers and periodicals, other than daily, in print	general interest newspapers
3242	business, professional or academic newspapers and periodicals, other than daily,	academic newspapers
3251	maps and hydrographic or similar charts (including wall maps, topographical plan	hydrographic
3253	printed or illustrated postcards; printed cards bearing personal greetings or me	illustrated postcards
3253	printed or illustrated postcards; printed cards bearing personal greetings or me	printed cards bearing personal greetings
3254	printed pictures, designs and photographs	printed pictures
3255	plans and drawings for architectural, engineering, industrial, commercial, topog	photographic reproductions
3261	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	unused postage
3261	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	stamp-impressed paper
3261	unused postage, revenue or similar stamps; stamp-impressed paper; cheque forms; 	cheque forms
3262	trade advertising material, commercial catalogues and the like	commercial catalogues
3263	transfers (decalcomanias) and printed calendars	printed calendars
3270	registers, account books, notebooks, letter pads, diaries and similar articles, 	letter pads
3270	registers, account books, notebooks, letter pads, diaries and similar articles, 	blotting-pads
3270	registers, account books, notebooks, letter pads, diaries and similar articles, 	file covers
3310	coke and semi-coke of coal, of lignite or of peat; retort carbon	semi-coke
3310	coke and semi-coke of coal, of lignite or of peat; retort carbon	retort carbon
3320	tar distilled from coal, from lignite or from peat, and other mineral tars	tar distilled
3331	motor gasoline and aviation gasoline	motor gasoline
3331	motor gasoline and aviation gasoline	aviation gasoline
3332	gasolene-type jet fuel	gasolene-type jet fuel
3335	white spirit and special boiling point industrial spirits	white spirit
3335	white spirit and special boiling point industrial spirits	special boiling point industrial spirits
3342	ethylene, propylene, butylene, butadiene and other petroleum gases or gaseous hy	gaseous hydrocarbons
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	micro- crystalline petroleum wax
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	slack wax
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	lignite wax
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	peat wax
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	petroleum coke
3350	petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozok	petroleum bitumen
3361	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	natural uranium
3361	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	its compounds
3361	natural uranium and its compounds; alloys, dispersions, ceramic products and mix	ceramic products
3362	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	uranium enriched
3362	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	its compounds
3362	uranium enriched in u235 and its compounds; plutonium and its compounds; alloys,	ceramic products
3363	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	uranium depleted
3363	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	its compounds
3363	uranium depleted in u235 and its compounds; thorium and its compounds; alloys, d	ceramic products
3369	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	ceramic products
3369	other radioactive elements and isotopes and compounds; alloys, dispersions, cera	radioactive residues
3371	fuel elements (cartridges), non-irradiated, for nuclear reactors	fuel elements
3371	fuel elements (cartridges), non-irradiated, for nuclear reactors	non-irradiated
3372	spent (irradiated) fuel elements (cartridges) of nuclear reactors	spent fuel elements
3411	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	their halogenated
3411	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	sulphonated
3411	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	nitrated
3411	hydrocarbons and their halogenated, sulphonated, nitrated or nitrosated derivati	nitrosated derivatives
3412	industrial monocarboxylic fatty acids; acid oils from refining	industrial monocarboxylic fatty acids
3412	industrial monocarboxylic fatty acids; acid oils from refining	acid oils
3413	alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated	phenol-alcohols
3413	alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated	industrial fatty alcohols
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	their anhydrides
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	peroxyacids
