# code	title	kind — kinds WordNet has no noun for (or only non-goods senses, marked)
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	their halogenated
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	sulphonated
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	nitrated
3414	carboxylic acids and their anhydrides, halides, peroxides and peroxyacids and th	nitrosated derivatives
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	amine-function compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	oxygen-function amino-compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	ureines
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	their derivatives
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	carboxyimide-function compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	imine-compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	nitrile-function compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	diazo
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	azo
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	azoxy-compounds
3415	amine-function compounds; oxygen-function amino-compounds, except lysine and its	organic derivatives
3416	organo-sulphur compounds and other organo-inorganic compounds; heterocyclic comp	organo-sulphur compounds
3416	organo-sulphur compounds and other organo-inorganic compounds; heterocyclic comp	their salts
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	alcohol peroxides
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	ether peroxides
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	epoxides
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	aldehyde-function compounds
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	ketone-function compounds
3417	ethers, alcohol peroxides, ether peroxides, epoxides, acetals and hemiacetals, a	quinone-function compounds
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	phosphoric esters
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	their salts
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	and their halogenated
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	sulphonated
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	nitrated
3418	phosphoric esters and their salts or esters of other inorganic acids (excluding 	nitrosated derivatives
3421	hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen comp	rare gases
3421	hydrogen, nitrogen, oxygen, carbon dioxide and rare gases; inorganic oxygen comp	inorganic oxygen compounds
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	zinc peroxide
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	chromium oxides
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	manganese oxides
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	iron oxides
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	earth colours
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	cobalt oxides
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	lead oxides
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	orange lead
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	inorganic bases
3422	zinc oxide; zinc peroxide; chromium oxides and hydroxides; manganese oxides; iro	metal oxides
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	inorganic acids
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	inorganic oxygen compounds
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	sulphur compounds
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	hydrozine
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	hydroxylamine
3423	chemical elements n.e.c.; inorganic acids; inorganic oxygen compounds of boron, 	their inorganic salts
3424	phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n	peroxysalts
3425	salts of oxometallic or peroxometallic acids; colloidal precious metals and comp	colloidal precious metals
3425	salts of oxometallic or peroxometallic acids; colloidal precious metals and comp	inorganic
3427	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	cyanide oxides
3427	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	complex cyanides
3427	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	cyanates
3427	cyanides, cyanide oxides and complex cyanides; fulminates, cyanates and thiocyan	perborates
3428	hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides a	phosphides
3428	hydrogen peroxide; phosphides; carbides; hydrides, nitrides, azides, silicides a	borides
3431	synthetic organic colouring matter and preparations based thereon; synthetic org	preparations based thereon
3431	synthetic organic colouring matter and preparations based thereon; synthetic org	synthetic organic products
3431	synthetic organic colouring matter and preparations based thereon; synthetic org	colour lakes
3432	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	tanning extracts
3432	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	their salts
3432	tanning extracts of vegetable origin; tannins and their salts, ethers, esters an	preparations based
3433	synthetic organic tanning substances; inorganic tanning substances; tanning prep	synthetic organic tanning substances
3433	synthetic organic tanning substances; inorganic tanning substances; tanning prep	inorganic tanning substances
3433	synthetic organic tanning substances; inorganic tanning substances; tanning prep	tanning preparations
3433	synthetic organic tanning substances; inorganic tanning substances; tanning prep	enzymatic preparations
3434	colouring matter n.e.c.; inorganic products of a kind used as luminophores	inorganic products
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	activated natural mineral products
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	terpenic oils produced
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude dipentene
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	crude para-cymene
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	pine oil
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	resin acids
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin spirit
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	rosin oils
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	rum gums
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood tar oils
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood creosote
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	wood naphtha
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	vegetable pitch
3440	activated natural mineral products; animal black; tall oil; terpenic oils produc	brewers' pitch
3451	wood charcoal	wood charcoal
3453	roasted iron pyrites	roasted iron pyrites
3454	oils and other products of the distillation of high temperature coal tar, and si	pitch coke
3455	animal or vegetable fats and oils and their fractions, chemically modified, exce	vegetable fats
3455	animal or vegetable fats and oils and their fractions, chemically modified, exce	their fractions
3455	animal or vegetable fats and oils and their fractions, chemically modified, exce	chemically modified
3455	animal or vegetable fats and oils and their fractions, chemically modified, exce	inedible mixtures
3456	synthetic or reconstructed precious or semi-precious stones, unworked	reconstructed precious
3456	synthetic or reconstructed precious or semi-precious stones, unworked	semi-precious stones
3461	mineral or chemical fertilizers, nitrogenous	chemical fertilizers
3461	mineral or chemical fertilizers, nitrogenous	nitrogenous
3462	mineral or chemical fertilizers, phosphatic	chemical fertilizers
3462	mineral or chemical fertilizers, phosphatic	phosphatic
3463	mineral or chemical fertilizers, potassic	chemical fertilizers
3463	mineral or chemical fertilizers, potassic	potassic
3464	mineral or chemical fertilizers containing at least two nutrients of nitrogen, p	chemical fertilizers
3474	polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonat	polyacetals
