kind	sub	sup	detail
single	bubo	body-part	only wordnet
single	bubo	cognition	only wordnet
single	bubo	evidence	only wordnet
single	bubo	physical-object	only sumo
single	bump-swelling	attribute	only wordnet
single	bump-swelling	condition	only wordnet
single	bump-swelling	event	only sumo
single	bump-swelling	state	only wordnet
single	calamity	quack	only sumo
single	calcium-blocker	agent	only wordnet
single	calcium-blocker	drug	only wordnet
single	calcium-blocker	material	only sumo
single	callosotomy	accomplishment	only sumo
single	callosotomy	brain-surgery	only wordnet
single	callosotomy	therapy	only sumo
single	callosotomy	volition	only sumo
single	cancroid	cancer	only wordnet
single	cancroid	carcinoma	only wordnet
single	cancroid	condition	only wordnet
single	cancroid	disease	only wordnet
single	cancroid	illness	only wordnet
single	cancroid	malignancy	only wordnet
single	cancroid	property	only sumo
single	cancroid	state	only wordnet
single	cancroid	symptomatic-effect	only sumo
single	cancroid	tissue-growth	only wordnet
single	cancroid	tumor	only wordnet
single	carbomycin	agent	only wordnet
single	carbomycin	drug	only wordnet
single	carbomycin	material	only sumo
single	carbomycin	medication	only wordnet
single	carbuncle	condition	only wordnet
single	carbuncle	property	only sumo
single	carbuncle	state	only wordnet
single	carbuncle	symptomatic-effect	only sumo
single	carcinoma	condition	only wordnet
single	carcinoma	disease	only wordnet
single	carcinoma	illness	only wordnet
single	carcinoma	malignancy	only wordnet
single	carcinoma	property	only sumo
single	carcinoma	state	only wordnet
single	carcinoma	symptomatic-effect	only sumo
single	carcinoma	tissue-growth	only wordnet
single	carcinoma	tumor	only wordnet
single	carcinoma-in-situ	cancer	only wordnet
single	carcinoma-in-situ	condition	only wordnet
single	carcinoma-in-situ	disease	only wordnet
single	carcinoma-in-situ	illness	only wordnet
single	carcinoma-in-situ	malignancy	only wordnet
single	carcinoma-in-situ	property	only sumo
single	carcinoma-in-situ	state	only wordnet
single	carcinoma-in-situ	symptomatic-effect	only sumo
single	carcinoma-in-situ	tissue-growth	only wordnet
single	carcinoma-in-situ	tumor	only wordnet
single	cardiograph	physical-object	only wordnet
single	cardiologist	agent	only wordnet
single	cardiologist	attribute	only sumo
single	cardiologist	human	only opencyc
single	cardiologist	mammal	only opencyc
single	cardiologist	medical-practitioner	only wordnet
single	cardiologist	organism	only wordnet
single	cardiologist	person	only wordnet
single	cardiologist	physical-object	only wordnet
single	cardiologist	property	only sumo
single	cardiologist	structure	only opencyc
single	cardiologist	vertebrate	only opencyc
single	cardiologist	worker	only opencyc
single	cardiology	cognition	only wordnet
single	cardiology	natural-science	only wordnet
single	cardiology	science	only wordnet
single	cardiomegaly	cognition	only wordnet
single	cardiomegaly	event	only sumo
single	cardiomegaly	evidence	only wordnet
single	carminative	agent	only wordnet
single	carminative	drug	only wordnet
single	carminative	material	only sumo
single	carriage	quack	only sumo
single	castration	accomplishment	only sumo
single	castration	action	only opencyc
single	castration	situation	only opencyc
single	castration	surgery	only opencyc
single	castration	therapy	only sumo
single	castration	volition	only sumo
single	cat-scratch-disease	condition	only wordnet
single	cat-scratch-disease	illness	only wordnet
single	cat-scratch-disease	property	only sumo
single	cat-scratch-disease	state	only wordnet
single	cat-scratch-disease	symptomatic-effect	only sumo
single	cataract-surgery	accomplishment	only sumo
single	cataract-surgery	therapy	only sumo
single	cataract-surgery	volition	only sumo
single	catatonic-schizophrenia	condition	only wordnet
single	catatonic-schizophrenia	inclination	only sumo
single	catatonic-schizophrenia	mentality	only sumo
single	catatonic-schizophrenia	property	only sumo
single	catatonic-schizophrenia	psychosis	only wordnet
single	catatonic-schizophrenia	state	only wordnet
single	catatonic-schizophrenia	symptomatic-effect	only sumo
single	catatonic-schizophrenia	trait	only sumo
single	catch	quack	only sumo
single	catheterization	accomplishment	only sumo
single	catheterization	therapy	only sumo
single	catheterization	volition	only sumo
single	catling	instrument	only wordnet
single	catling	knife	only wordnet
single	catling	physical-object	only wordnet
single	catling	surgical-instrument	only wordnet
single	catling	tool	only wordnet
single	cautery	accomplishment	only sumo
