kind	sub	sup	detail
single	mailman	embodied-agent	only opencyc
single	mailman	intelligent-agent	only opencyc
single	mammal	embodied-agent	only opencyc
single	man	embodied-agent	only opencyc
single	man	intelligent-agent	only opencyc
single	manager	embodied-agent	only opencyc
single	manager	intelligent-agent	only opencyc
single	married-couple	intelligent-agent	only opencyc
single	masked-language-model	statistical-model	only wikidata
single	mayor	embodied-agent	only opencyc
single	mayor	intelligent-agent	only opencyc
single	medical-robot	machine	only wikidata
single	meta-learning	artificial-intelligence	only wikidata
single	metaheuristic	artificial-intelligence	only wikidata
single	microbot	machine	only wikidata
single	military-robot	machine	only wikidata
single	military-robot	mobile-robot	only wikidata
single	miner	embodied-agent	only opencyc
single	miner	intelligent-agent	only opencyc
single	minister	embodied-agent	only opencyc
single	minister	intelligent-agent	only opencyc
single	ministry	intelligent-agent	only opencyc
single	mixture-of-experts-model	artificial-neural-network	only wikidata
single	mixture-of-experts-model	language-model	only wikidata
single	mixture-of-experts-model	statistical-model	only wikidata
single	mobile-robot	machine	only wikidata
single	model-evaluation-method	artificial-intelligence	only wikidata
single	model-free-reinforcement-learning	artificial-intelligence	only wikidata
single	model-free-reinforcement-learning	machine-learning	only wikidata
single	mole	embodied-agent	only opencyc
single	monk	embodied-agent	only opencyc
single	monk	intelligent-agent	only opencyc
single	monkey	embodied-agent	only opencyc
single	monte-carlo-algorithm	artificial-intelligence	only wikidata
single	morphological-analysis	artificial-intelligence	only wikidata
single	morphological-analysis	computational-linguistics	only wikidata
single	morphological-analysis	context	only opencyc
single	morphological-analysis	information	only opencyc
single	mosquito	embodied-agent	only opencyc
single	mother	embodied-agent	only opencyc
single	mother	intelligent-agent	only opencyc
single	mouse	embodied-agent	only opencyc
single	multi-agent-reinforcement-learning	artificial-intelligence	only wikidata
single	multi-agent-reinforcement-learning	machine-learning	only wikidata
single	multi-task-learning	artificial-intelligence	only wikidata
single	multilayer-perceptron	artificial-neural-network	only wikidata
single	multimodal-large-language-model	language-model	only wikidata
single	multimodal-large-language-model	statistical-model	only wikidata
single	multimodal-learning	artificial-intelligence	only wikidata
single	multiple-instance-learning	algorithm	only wikidata
single	museum	intelligent-agent	only opencyc
single	musician	embodied-agent	only opencyc
single	musician	intelligent-agent	only opencyc
single	naive-bayes-classifier	algorithm	only wikidata
single	naive-bayes-classifier	classification-algorithm	only wikidata
single	natural-language-generation	algorithm	only wikidata
single	natural-language-generation	artificial-intelligence	only wikidata
single	natural-language-generation	computational-linguistics	only wikidata
single	natural-language-processing	cognition	only wordnet
single	natural-language-understanding	artificial-intelligence	only wikidata
single	natural-language-understanding	computational-linguistics	only wikidata
single	navy	intelligent-agent	only opencyc
single	nearest-neighbor-classifier	algorithm	only wikidata
single	neural-machine-translation	artificial-intelligence	only wikidata
single	neural-machine-translation	computational-linguistics	only wikidata
single	neural-machine-translation	natural-language-processing	only wikidata
single	neural-turing-machine	artificial-neural-network	only wikidata
single	nonlinear-dimensionality-reduction	algorithm	only wikidata
single	nonlinear-dimensionality-reduction	artificial-intelligence	only wikidata
single	nun	embodied-agent	only opencyc
single	nun	intelligent-agent	only opencyc
single	nurse	embodied-agent	only opencyc
single	nurse	intelligent-agent	only opencyc
single	one-shot-learning	artificial-intelligence	only wikidata
single	one-shot-learning	machine-learning	only wikidata
single	online-machine-learning	artificial-intelligence	only wikidata
single	online-machine-learning	machine-learning	only wikidata
single	operations-research	accomplishment	only sumo
single	operations-research	information	only sumo
single	operations-research	procedure	only sumo
single	operations-research	search	only sumo
single	operations-research	volition	only sumo
single	operations-research	work	only wordnet
single	optical-character-recognition	algorithm	only wikidata
single	optical-character-recognition	artificial-intelligence	only wikidata
single	optical-character-recognition	machine-learning	only wikidata
single	orchestra	intelligent-agent	only opencyc
single	owl	embodied-agent	only opencyc
single	owner	intelligent-agent	only opencyc
single	panoptic-segmentation	computer-vision	only wikidata
single	parliament	intelligent-agent	only opencyc
single	parser	information	only wordnet
single	parser	measure	only sumo
single	parser	routine	only sumo
single	part-of-speech-tagging	artificial-intelligence	only wikidata
single	part-of-speech-tagging	computational-linguistics	only wikidata
single	partner	embodied-agent	only opencyc
single	partner	intelligent-agent	only opencyc
single	partnership	intelligent-agent	only opencyc
single	pathfinding	algorithm	only wikidata
single	pathfinding	information-retrieval	only wikidata
single	patient	embodied-agent	only opencyc
single	patient	intelligent-agent	only opencyc
single	pattern-recognition	artificial-intelligence	only wikidata
single	peasant	embodied-agent	only opencyc
single	peasant	intelligent-agent	only opencyc
single	pedestrian	embodied-agent	only opencyc
single	pedestrian	intelligent-agent	only opencyc
single	pedestrian-detection	computer-vision	only wikidata
single	peer	embodied-agent	only opencyc
single	peer	intelligent-agent	only opencyc
single	pensioner	embodied-agent	only opencyc
single	pensioner	intelligent-agent	only opencyc
single	perceiver	artificial-neural-network	only wikidata
single	perceiver	transformer-model	only wikidata
single	perceptron	artificial-neural-network	only wikidata
single	personal-robot	machine	only wikidata
single	philosopher	embodied-agent	only opencyc
single	philosopher	intelligent-agent	only opencyc
single	photographer	embodied-agent	only opencyc
single	photographer	intelligent-agent	only opencyc
single	pig	embodied-agent	only opencyc
single	pigeon	embodied-agent	only opencyc
single	policy-gradient-method	artificial-intelligence	only wikidata
single	policy-gradient-method	machine-learning	only wikidata
single	polish	embodied-agent	only opencyc
single	polish	intelligent-agent	only opencyc
single	political-party	intelligent-agent	only opencyc
single	politician	embodied-agent	only opencyc
single	politician	intelligent-agent	only opencyc
single	pony	embodied-agent	only opencyc
single	porter	embodied-agent	only opencyc
single	porter	intelligent-agent	only opencyc
single	preference-learning	artificial-intelligence	only wikidata
single	prey	embodied-agent	only opencyc
single	prince	embodied-agent	only opencyc
single	prince	intelligent-agent	only opencyc
single	princess	embodied-agent	only opencyc
single	princess	intelligent-agent	only opencyc
single	prisoner	embodied-agent	only opencyc
single	prisoner	intelligent-agent	only opencyc
single	professional	embodied-agent	only opencyc
single	professional	intelligent-agent	only opencyc
single	professor	embodied-agent	only opencyc
single	professor	intelligent-agent	only opencyc
single	proximal-policy-optimization	artificial-intelligence	only wikidata
single	proximal-policy-optimization	machine-learning	only wikidata
single	proximal-policy-optimization	reinforcement-learning	only wikidata
single	psychologist	embodied-agent	only opencyc
single	psychologist	intelligent-agent	only opencyc
single	publisher	embodied-agent	only opencyc
single	publisher	intelligent-agent	only opencyc
single	q-learning	artificial-intelligence	only wikidata
single	q-learning	machine-learning	only wikidata
single	q-learning	reinforcement-learning	only wikidata
single	quantum-machine-learning	artificial-intelligence	only wikidata
single	question-answering	artificial-intelligence	only wikidata
single	question-answering	computational-linguistics	only wikidata
single	rabbit	embodied-agent	only opencyc
single	rat	embodied-agent	only opencyc
single	rdf-graph	information	only opencyc
single	reasoning-language-model	language-model	only wikidata
single	reasoning-language-model	statistical-model	only wikidata
single	recursive-neural-network	artificial-neural-network	only wikidata
single	referee	embodied-agent	only opencyc
single	referee	intelligent-agent	only opencyc
single	refugee	embodied-agent	only opencyc
single	refugee	intelligent-agent	only opencyc
single	region-based-convolutional-neural-network	artificial-neural-network	only wikidata
single	region-based-convolutional-neural-network	feedforward-neural-network	only wikidata
single	reinforcement-learning	artificial-intelligence	only wikidata
single	reinforcement-learning-from-human-feedback	artificial-intelligence	only wikidata
single	reinforcement-learning-from-human-feedback	machine-learning	only wikidata
single	relationship-extraction	artificial-intelligence	only wikidata
single	relationship-extraction	computational-linguistics	only wikidata
single	relationship-extraction	natural-language-processing	only wikidata
single	relief	algorithm	only wikidata
single	reptile	embodied-agent	only opencyc
single	rescue-robot	machine	only wikidata
single	reservoir-computing	artificial-neural-network	only wikidata
single	resident	embodied-agent	only opencyc
single	resident	intelligent-agent	only opencyc
single	restricted-boltzmann-machine	artificial-neural-network	only wikidata
single	restricted-boltzmann-machine	energy-based-model	only wikidata
single	restricted-boltzmann-machine	statistical-model	only wikidata
single	retrieval-augmented-generation	ai-model	only wikidata
single	retrieval-augmented-generation	artificial-intelligence	only wikidata
single	retrieval-augmented-generation	artificial-neural-network	only wikidata
single	retrieval-augmented-generation	generative-model	only wikidata
single	retrieval-augmented-generation	software	only wikidata
single	retrieval-augmented-generation	statistical-model	only wikidata
single	rhetoric	embodied-agent	only opencyc
single	rhetoric	intelligent-agent	only opencyc
single	roboethics	philosophy-of-artificial-intelligence	only wikidata
single	robot-learning	artificial-intelligence	only wikidata
single	robot-navigation	skill	only wikidata
single	robotic-arm	artifact	only opencyc
single	robotic-arm	device	only opencyc
single	robotic-arm	machine	only wikidata
single	robotic-spacecraft	machine	only wikidata
single	robotics	cognition	only wordnet
single	robotics	engineering	only wordnet
