name	wordnet	sumo	sumo_rel	schemaorg	yago	wikidata	opencyc	bfo	dolce	dul	gloss	origin
bank	09213565	RiverBank	=		Bank		Mx4rqKcF-iTVQdefD8zuIYgMZQ				"sloping land (especially the slope beside a body of water); ""they pulled the canoe up on t"	core
bank-check	13381734	Check	=			Q80042					"a written order directing a bank to pay money; ""he paid all his bills by check"""	core
bankruptcy	01186397	RegulatoryProcess	+				Mx4rx-XW1nS8EdaAAACgyZzFrg				a legal process intended to insure equality among the creditors of a corporation declared 	core
banner	02788021	Fabric	+		Banner						long strip of cloth or paper used for decoration or advertising	core
banquet	08253640	Meeting	+			Q626066	Mx4rq1dx7FxXEdqAAAACs71DGQ				a ceremonial dinner party for many people	core
bar	02788689	Metal	+		Bar						"a rigid piece of metal or wood; usually used as a fastening or obstruction or weapon; ""the"	core
bargain	06771159	Agreement	+				Mx4rVxAb6kPxQdmVXaHI2HF6WQ				an agreement between parties (usually arrived at after discussion) fixing obligations of e	core
bark	13162297	BodyPart	+			Q184453	Mx4rvV7CdJwpEbGdrcN5Y29ycA				tough protective covering of the woody stems and roots of trees and other woody plants	core
baron	09840217	BusinessPerson	+		Baron	Q911554	Mx4rwNcrupwpEbGdrcN5Y29ycA				"a very wealthy or powerful businessman; ""an oil baron"""	core
barrel	02795169	Cask	=			Q10289	Mx4rwP4DlJwpEbGdrcN5Y29ycA				a cylindrical container that holds liquids	core
barrel-shape	13901211	ShapeAttribute	+								a bulging cylindrical shape; hollow with flat ends	core
barrier	09214581	Barrier	=								anything serving to maintain separation by obstructing vision or access	core
barroom	02796995	Tavern	+			Q147268					"a room or establishment where alcoholic drinks are served over a counter; ""he drowned his "	core
barter	01109687	Transaction	+			Q484830	Mx4rvViy4JwpEbGdrcN5Y29ycA				"an equal exchange; ""we had no money so we had to live by barter"""	core
base	02797692	EngineeringComponent	+			Q683906					"a support or foundation; ""the base of the lamp"""	core
baseball	00471613	Baseball	=				Mx4rvViKuJwpEbGdrcN5Y29ycA				a ball game played with a bat and ball between two teams of nine players; teams take turns	core
basement	02800497	Basement	+		Basement	Q234852					the lowermost portion of a structure partly or wholly below ground level; often used for s	core
basis	05793554	Proposition	+				Mx4razP5lB7QQdiFcpsxpJ2QiQ				the fundamental assumptions from which something is begun or developed or calculated or ex	core
basket	02801938	Container	+		Basket	Q201097	Mx4rwQrno5wpEbGdrcN5Y29ycA				a container that is usually woven and has handles	core
